,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
0.00,Too Many Girls,1940.00,Passed,14892.00,85 min,"Comedy, Music, Sport",George Abbott,"John Twist, George Marion Jr.","Lucille Ball, Richard Carlson, Ann Miller","A young lady goes to College and, without her knowledge, her father sends four football players as her bodyguards, who eventually join the college team and turn it into one of the best, while one of the players falls in love with her",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BMjQwNzIzMTc2M15BMl5BanBnXkFtZTgwNjU0OTY1MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",64.02,6.00,859.00,tt0033173,movie,38846.00,40071397.78,RKO Pictures,N/A,True,
1.00,Paris pieds nus,2016.00,Not Rated,42802.00,83 min,Comedy,"Dominique Abel, Fiona Gordon","Dominique Abel, Fiona Gordon","Emmanuelle Riva, Pierre Richard, Emmy Boissard Paumelle","Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing.","French, English","France, Belgium",3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTUzNjQ0NDc0NV5BMl5BanBnXkFtZTgwOTY0NDAzMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74.00,6.30,3157.00,tt2936884,movie,42983.00,40071397.78,N/A,N/A,True,
2.00,This Beautiful Fantastic,2016.00,PG,43150.00,92 min,"Comedy, Drama, Romance",Simon Aboud,Simon Aboud,"Jessica Brown Findlay, Andrew Scott, Jeremy Irvine","A young woman who dreams of becoming a children's book author makes an unlikely friendship with a cantankerous, rich old widower.","English, Irish Gaelic","United Kingdom, United States, United Arab Emirates",4 nominations,https://m.media-amazon.com/images/M/MV5BMTY5MjEyMDk2N15BMl5BanBnXkFtZTgwODMyMTQzMTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.00,7.00,10790.00,tt4560008,movie,42934.00,40071397.78,N/A,N/A,True,
3.00,Border Vigilantes,1941.00,Passed,15084.00,63 min,Western,Derwin Abrahams,"J. Benton Cheney, Clarence E. Mulford","William Boyd, Russell Hayden, Andy Clyde","A town bedeviled with outlaws sends for Hoppy, Lucky and California after their own vigilante committee fails to solve the towns problems. Hoppy discovers that the bad guys are led by the town boss, and so are the vigilantes.",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BNzBkMDhjYjgtMmYzOS00YTNmLTk1ODItMzk1YjAwOGE0M2QyXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",64.02,6.80,150.00,tt0033425,movie,38230.00,40071397.78,Harry Sherman Productions,N/A,True,
4.00,Secret of the Wastelands,1941.00,Passed,15295.00,66 min,"Action, Adventure, Western",Derwin Abrahams,"Gerald Geraghty, Harry Sinclair Drago, Clarence E. Mulford","William Boyd, Andy Clyde, Brad King","The usual gang of bad guys is out to grab up all the available ranch land. This time their object is land belonging to Chinese. As an aside, Hoppy leads some archaeologists through parts of California.",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BYThlM2M3MmUtYzRjZi00OGU3LTk0MzktZGJjMmUxYjM5ZjU4XkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",64.02,6.90,165.00,tt0034166,movie,36495.00,40071397.78,N/A,N/A,True,
5.00,Hot Shots!,1991.00,PG-13,33450.00,84 min,"Action, Comedy",Jim Abrahams,"Jim Abrahams, Pat Proft","Charlie Sheen, Cary Elwes, Valeria Golino",A parody of Top Gun (1986) in which a talented but unstable fighter pilot must overcome the ghosts of his father and save a mission sabotaged by greedy weapons manufacturers.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BNzgxNmI1ODItZWZlYy00ZjE0LWIwYjgtMTk2MzU0MjhkOWIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61.00,6.80,103808.00,tt0102059,movie,37474.00,40071397.78,N/A,N/A,True,
6.00,Airplane!,1980.00,PG,29404.00,88 min,Comedy,"Jim Abrahams, David Zucker, Jerry Zucker","Jim Abrahams, David Zucker, Jerry Zucker","Robert Hays, Julie Hagerty, Leslie Nielsen",A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,English,United States,3 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BZjA3YjdhMWEtYjc2Ni00YzVlLWI0MTUtMGZmNTJjNmU0Yzk2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78.00,7.70,224472.00,tt0080339,movie,38699.00,40071397.78,N/A,N/A,True,
7.00,Ruthless People,1986.00,R,31590.00,93 min,"Comedy, Crime","Jim Abrahams, David Zucker, Jerry Zucker","Dale Launer, O. Henry","Bette Midler, Danny DeVito, Judge Reinhold","A couple, cheated by a vile businessman, kidnap his wife in retaliation, without knowing that their enemy is delighted they did.",English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BZjJlYTE3MzYtMGMxMy00OTYyLTg5NzktYmNlOGIzNDEyYjc1XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78.00,6.90,27049.00,tt0091877,movie,38202.00,40071397.78,N/A,N/A,True,
8.00,Mission: Impossible III,2006.00,PG-13,38842.00,126 min,"Action, Adventure, Thriller",J.J. Abrams,"Alex Kurtzman, Roberto Orci, J.J. Abrams","Tom Cruise, Michelle Monaghan, Ving Rhames",IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,"English, Italian, Mandarin, Cantonese, German, Czech","United States, Germany, China, Italy",7 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BOThhNTA1YjItYzk2Ny00M2Y1LWJlYWUtZDQyZDU0YmY5Y2M5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.00,6.90,341695.00,tt0317919,movie,39020.00,40071397.78,N/A,N/A,True,
9.00,Super 8,2011.00,PG-13,40704.00,112 min,"Mystery, Sci-Fi, Thriller",J.J. Abrams,J.J. Abrams,"Elle Fanning, AJ Michalka, Kyle Chandler","During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.",English,United States,11 wins & 70 nominations,https://m.media-amazon.com/images/M/MV5BMjIzNjEyMzcwOF5BMl5BanBnXkFtZTcwMTkyMjE0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.00,7.00,346291.00,tt1650062,movie,40869.00,40071397.78,N/A,N/A,True,
